2024-09-10 23:29:54.611 [info] Starting Python Locator /home/ec2-user/.vscode-server/extensions/ms-python.python-2024.14.0-linux-x64/python-env-tools/bin/pet server
2024-09-10 23:29:54.634 [info] Discovered env: /usr/bin/python
2024-09-10 23:29:54.634 [info] Discovered env: /bin/python
2024-09-10 23:29:54.634 [info] Locator Conda took 97.74455ms
2024-09-10 23:29:54.634 [info] Locator Homebrew took 57.912µs
2024-09-10 23:29:54.634 [info] Locator LinuxGlobal took 130.820087ms
2024-09-10 23:29:54.634 [info] Locator PipEnv took 13.102µs
2024-09-10 23:29:54.634 [info] Locator Poetry took 91.802µs
2024-09-10 23:29:54.634 [info] Locator PyEnv took 107.892µs
2024-09-10 23:29:54.634 [info] Locator Venv took 21.67µs
2024-09-10 23:29:54.634 [info] Locator VirtualEnv took 13.92µs
2024-09-10 23:29:54.635 [info] Locator VirtualEnvWrapper took 14.426µs
2024-09-10 23:29:54.635 [info] Locator GlobalVirtualEnvs took 62.224µs
2024-09-10 23:29:54.635 [info] Locator Locators took 133.796274ms
2024-09-10 23:29:54.635 [info] Locator Path took 181.318803ms
2024-09-10 23:29:54.635 [info] Locator Workspaces took 100.306882ms
2024-09-10 23:29:54.635 [info] Refresh completed in 187ms
